Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2015;2320;0;2A;2A048;Calcatoggio;Hameau Pevani;NB28D42;2015-06-25 16:29:00;3;2000
2014;2703;0;2B;2B050;Calvi;;NC24F41;2014-06-30 11:02:00;;17071
2014;2737;0;2A;2A272;Sartène;LYCEE AGRICOLE;NB44H55;2014-05-30 16:55:00;3;1500
2019;669;0;2A;2A326;Tolla;Punta di l'Alcudina;NB48E33;2019-02-23 19:39:00;;710000
2012;9356;0;2B;2B235;Pioggiola;;NC44D53;2012-10-21 07:53:00;;3000
2021;4652;0;2A;2A103;Cuttoli-Corticchiato;Leccia Vignata;NB48C35;2021-07-24 16:20:00;;30
2012;4662;0;2A;2A114;Figari;OGLIASTRELLO;NB62E83;2012-04-01 14:30:00;3;300
2002;3300;0;2A;2A200;Palneca;;NB68D32;2002-03-04 11:36:00;3;20000
2002;3572;0;2A;2A247;Porto-Vecchio;piscia di gallu;NB64G73;2002-04-26 09:00:00;3;3000
2002;5683;0;2A;2A247;Porto-Vecchio;;NB64L21;2002-07-19 12:45:00;3;200
2002;4574;0;2A;2A247;Porto-Vecchio;;NB84A44;2002-06-10 17:32:00;3;200
2002;4575;0;2A;2A247;Porto-Vecchio;;NB84A21;2002-06-11 19:00:00;3;1000
2002;3322;0;2A;2A270;Sari-d'Orcino;;NB28K74;2002-03-23 17:06:00;3;1000
2002;3223;0;2A;2A271;Sarrola-Carcopino;;NB48L63;2002-01-04 13:15:00;3;15000
2002;4580;0;2A;2A271;Sarrola-Carcopino;BALEONE;NB28K14;2002-06-18 10:30:00;3;800
2002;4585;0;2A;2A272;Sartène;RIZZANESE;NB44F54;2002-06-21 11:57:00;3;100
2002;5665;0;2A;2A272;Sartène;TIZZANO;NB44F04;2002-07-11 14:02:00;3;10
2002;4591;0;2A;2A288;Sotta;valavu;NB62H95;2002-06-24 17:59:00;3;40000
2002;3557;0;2A;2A348;Vico;LA GOSTA;NC20D2;2002-03-25 16:42:00;3;10
2002;3301;0;2A;2A359;Zicavo;;NB66C91;2002-03-04 16:30:00;3;15000
2002;3553;0;2A;2A362;Zonza;;NB66D31;2002-03-24 15:16:00;3;250
2002;3576;0;2A;2A362;Zonza;ste lucie de povo;NB84C95;2002-05-30 18:31:00;3;300
2001;1651;0;2A;2A254;Quenza;argiavara;NB66K51;2001-05-02 13:50:00;3;3000
2001;1689;0;2A;2A017;Appietto;CARBINICA;NB28F35;2001-06-09 12:35:00;3;10000
2001;2704;0;2A;2A272;Sartène;;NB42B94;2001-06-18 15:49:00;3;5000
2001;2705;0;2A;2A272;Sartène;;NB42H61;2001-06-18 15:39:00;3;20
2001;2706;0;2A;2A032;Bastelicaccia;route de botacina;NB48A13;2001-06-20 10:12:00;3;6000
2001;2719;0;2A;2A272;Sartène;tizzano;NB42C82;2001-06-23 12:50:00;3;50
2001;2756;0;2A;2A295;Sant'Andréa-d'Orcino;;NB28K62;2001-07-03 10:40:00;3;100
2001;2758;0;2A;2A035;Belvédère-Campomoro;;NB44B32;2001-07-03 14:55:00;3;20
2001;2781;0;2A;2A090;Coggia;liamone;NB28E83;2001-07-09 15:31:00;3;50
2001;3569;0;2A;2A215;Pianottoli-Caldarello;;NB62B61;2001-07-12 12:50:00;3;20000
2001;3577;0;2A;2A271;Sarrola-Carcopino;;NB48A44;2001-07-12 20:06:00;3;3000
2001;3578;0;2A;2A040;Bocognano;;NC60A13;2001-07-13 10:34:00;3;2000
2001;3579;0;2A;2A362;Zonza;STE LUCIE POVO;NB84D82;2001-07-13 12:05:00;3;50
2001;5196;0;2A;2A288;Sotta;STADE;NB64G0;2001-08-11 10:44:00;3;20000
2001;6097;0;2A;2A066;Cargiaca;;NB46L03;2001-08-28 08:19:00;3;6000
2001;6102;0;2A;2A066;Cargiaca;;NB46L03;2001-08-29 13:30:00;3;10000
2001;6112;0;2A;2A247;Porto-Vecchio;bocca di l'oru;NB84A02;2001-09-01 12:25:00;3;20
2001;7956;0;2A;2A272;Sartène;madunina;NB44G42;2001-09-09 05:50:00;3;300
2001;8250;0;2A;2A324;Tavera;;NB28C82;2001-09-16 16:54:00;3;200
2001;8251;0;2A;2A114;Figari;;NB64F15;2001-09-16 21:25:00;3;2000
2001;8261;0;2A;2A130;Grosseto-Prugna;PORTICCIO;NB26L71;2001-09-28 16:10:00;3;1800
2000;2454;0;2A;2A348;Vico;SAGONE;NC20E14;2000-02-01 19:04:00;3;1000
2000;2548;0;2A;2A141;Letia;centre equestre;NC20L41;2000-02-11 15:07:00;3;4000
2000;2551;0;2A;2A288;Sotta;BORIVOLI;NB64F01;2000-02-19 13:04:00;3;3000
2000;2553;0;2A;2A268;Sampolo;gioviccacce;NB68B13;2000-02-27 15:23:00;4;15000
2000;2561;0;2A;2A212;Piana;FIGAGHJOLA;NC20A74;2000-03-09 13:56:00;3;2000
2000;2582;0;2A;2A200;Palneca;SCRIVANO;NB68D32;2000-03-12 19:06:00;3;1500
2000;2591;0;2A;2A108;Évisa;PIAZZA;NC20K92;2000-03-17 13:43:00;3;10000
2000;2598;0;2A;2A040;Bocognano;;NB48K81;2000-03-23 11:35:00;3;5000
2000;3724;0;2A;2A268;Sampolo;;NB68C11;2000-04-27 14:35:00;3;2000
2000;3739;0;2A;2A004;Ajaccio;santa lina;NB26E82;2000-05-26 15:21:00;3;2000
2000;3746;0;2A;2A215;Pianottoli-Caldarello;;NB42L52;2000-05-29 14:00:00;3;30000
2000;3911;0;2A;2A004;Ajaccio;SUARTELLO;NB28H14;2000-06-16 12:03:00;3;2500
2000;3918;0;2A;2A091;Cognocoli-Monticchi;;NB46D53;2000-06-17 13:00:00;2;500
2000;4191;0;2A;2A104;Eccica-Suarella;;NB48D02;2000-06-26 17:52:00;3;5000
2000;4486;0;2A;2A271;Sarrola-Carcopino;;NB48A43;2000-07-09 14:50:00;3;100
2000;4934;0;2A;2A181;Ocana;;NB48C12;2000-07-15 17:34:00;3;50
2000;4937;0;2A;2A247;Porto-Vecchio;capo di padulla;NB84A12;2000-07-15 21:19:00;3;5000
2000;5124;0;2A;2A004;Ajaccio;STILETTO;NB28H15;2000-07-18 11:16:00;3;100
2000;5134;0;2A;2A139;Lecci;st cyprien;NB84C55;2000-07-19 12:17:00;3;1000
2000;5919;0;2A;2A271;Sarrola-Carcopino;;NB48A53;2000-07-26 15:30:00;3;1000
2000;8908;0;2A;2A349;Viggianello;;NB44F62;2000-08-07 15:10:00;3;300
